with-rep-strong1,2635eb,0/7,0,16,22,0,1
with-rep-strong2,2635eb,0/7,0,16,20,0,1
with-rep-strong3,2635eb,0/7,0,16,18,1,2
with-rep-strong4,89f92c,0/7,3,16,46,0,1
with-rep-strong5,89f92c,0/7,3,16,43,0,1
with-rep1,2635eb,12/12,0,21,14,2,14
with-rep2,2635eb,0/7,0,16,2,1,16
with-rep3,2635eb,12/12,0,21,5,2,15
with-rep4,89f92c,0/7,0,16,8,1,15
with-rep5,89f92c,0/7,0,16,14,1,15
without-rep-strong1,2635eb,0/7,0,16,16,1,2
without-rep-strong2,2635eb,0/7,0,15,20,0,1
without-rep-strong3,2635eb,0/7,0,16,19,0,1
without-rep1,2635eb,0/7,0,16,3,1,16
without-rep2,2635eb,1/7,0,16,7,1,14
without-rep3,2635eb,0/7,0,16,7,2,13
without-rep4,89f92c,0/7,1,16,14,1,14
without-rep5,89f92c,12/12,7,21,16,2,14
