rep,arm,exported_handlers,heldout_passed,heldout_total,visible,batch_intervals
A-rep1,A,20,0,12,20/20,2
A-rep2,A,28,5,12,20/20,1
A-rep3,A,20,0,12,20/20,0
A-rep4,A,20,0,12,20/20,1
A-rep5,A,20,0,12,20/20,1
B-rep1,B,20,0,12,20/20,1
B-rep2,B,35,7,12,20/20,1
B-rep3,B,40,8,12,20/20,1
B-rep4,B,23,3,12,20/20,1
B-rep5,B,20,0,12,20/20,1
C-rep1,C,20,0,12,20/20,1
C-rep2,C,20,0,12,20/20,1
C-rep3,C,68,12,12,20/20,2
C-rep4,C,64,12,12,20/20,0
C-rep5,C,20,0,12,20/20,1
D-rep1,D,20,0,12,20/20,1
D-rep2,D,27,2,12,20/20,1
D-rep3,D,34,7,12,20/20,1
D-rep4,D,37,7,12,20/20,1
D-rep5,D,20,0,12,20/20,1
