study,paper_section,trial_id,arm,cli,cli_version,model,effort,started_at,finished_at,kickoff_sha256,condition_markers,visible_pass,visible_total,heldout_pass,heldout_total,exported_handlers,batch_intervals,max_new_files_one_interval,untested_contract_attempts,out_of_tree_access,stall,heartbeat_count,snapshot_sha256
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",A-rep1,A,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T16:53:01Z,2026-09-23T16:58:06Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,2,11,0,0,,17,efff22388d2f0e627d839abd319e14a9b4b2b9cac9dea4ea0cc7425e9988153b
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",A-rep2,A,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T13:05:12Z,2026-09-23T13:07:16Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,5,12,28,1,16,0,0,,16,6ba8aace3fd68c17def45c3dd5840212f6a80fce5aa254a52cf8f8403f9c8d80
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",A-rep3,A,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T16:50:49Z,2026-09-23T16:52:54Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,0,1,0,0,,1,5e1b6af7ec4c4a88316bd8525d2f436f2b0369943df2f3ca22fdaba64ca2e5e3
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",A-rep4,A,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T17:00:44Z,2026-09-23T17:04:29Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,1,15,0,0,,18,d2307a58be749846373f497484ceb84da4eac759b222344a2ec1715d8bd95df1
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",A-rep5,A,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-22T23:26:18Z,2026-09-22T23:28:42Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,enforce lock,20,20,0,12,20,1,14,0,0,,16,7b864e19505ee8e4051a9d19306d093718055006198ce66cc032f77f95151447
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",B-rep1,B,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-22T23:33:31Z,2026-09-22T23:35:15Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,0,12,20,1,15,0,0,,16,39b0f9dfee7cb2368c1c9ced40dd5ef16b16aa8ef0539941df2e59697b7e62e0
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",B-rep2,B,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T05:44:26Z,2026-09-23T05:47:11Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,7,12,35,1,16,0,0,,16,ddcf47b1bab9651daff7af91928eb996cd27ac6055d5bc860a5f861dc378ff90
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",B-rep3,B,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T05:47:18Z,2026-09-23T05:49:42Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,8,12,40,1,17,0,0,,18,4d504cee393a3efb0792ae6b004031da88bd355e4e002061d0d1c895eedda6b0
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",B-rep4,B,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-23T13:16:08Z,2026-09-23T13:18:32Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,3,12,23,1,16,0,0,,16,df243bebe4f61e04585c8cddfeccc149e12c915d2803d4e4a19ac732afe76dfe
sealed-haiku,"V-A sealed study (E2/E3/E4a), Haiku",B-rep5,B,claude-code,2.1.247 (Claude Code),claude-haiku-4-5-20251001,,2026-09-22T23:28:48Z,2026-09-22T23:30:11Z,87fcc89fa07e060490aa46daae58e0c2710a19e8dc779cf7f4ac03230b49d1f5,lock,20,20,0,12,20,1,15,0,0,,17,f901315b18dcf579f19d59b5b20527067dda7193b4568bcbecfe1f30e4914e58
